roomId;dayNumber;fullyBooked
1;1;False
1;2;False
1;3;False
1;4;False
1;5;False
1;6;False
1;7;False
1;8;False
1;9;False
1;10;False
1;11;False
1;12;False
1;13;False
1;14;False
1;15;False
1;16;False
1;17;False
1;18;False
1;19;False
1;20;False
1;21;False
1;22;False
1;23;False
1;24;False
1;25;False
1;26;False
1;27;False
1;28;False
1;29;False
1;30;False
1;31;False
2;1;True
2;2;True
2;3;True
2;4;True
2;5;True
2;6;True
2;7;True
2;8;True
2;9;True
2;10;True
2;11;True
2;12;True
2;13;True
2;14;True
2;15;True
2;16;True
2;17;True
2;18;True
2;19;True
2;20;True
2;21;True
2;22;True
2;23;True
2;24;True
2;25;True
2;26;True
2;27;True
2;28;True
2;29;True
2;30;True
2;31;True
3;1;False
3;2;False
3;3;False
3;4;False
3;5;False
3;6;False
3;7;False
3;8;False
3;9;False
3;10;False
3;11;False
3;12;False
3;13;False
3;14;False
3;15;False
3;16;False
3;17;False
3;18;False
3;19;False
3;20;False
3;21;False
3;22;False
3;23;False
3;24;False
3;25;False
3;26;False
3;27;False
3;28;False
3;29;False
3;30;False
3;31;False
4;1;False
4;2;False
4;3;False
4;4;False
4;5;False
4;6;False
4;7;False
4;8;False
4;9;False
4;10;False
4;11;False
4;12;False
4;13;False
4;14;False
4;15;False
4;16;False
4;17;False
4;18;False
4;19;False
4;20;False
4;21;False
4;22;False
4;23;False
4;24;False
4;25;False
4;26;False
4;27;False
4;28;False
4;29;False
4;30;False
4;31;False
5;1;True
5;2;True
5;3;True
5;4;True
5;5;True
5;6;True
5;7;True
5;8;True
5;9;True
5;10;True
5;11;True
5;12;True
5;13;True
5;14;True
5;15;True
5;16;True
5;17;True
5;18;True
5;19;True
5;20;True
5;21;True
5;22;True
5;23;True
5;24;True
5;25;True
5;26;True
5;27;True
5;28;True
5;29;True
5;30;True
5;31;True